PAYMENTS_ID,LOAN_ID,DUE_DATE,PAID_DATE,AMOUNT_PAID,STATUS
PAY09314,LOAN20017,01-01-2024,23-12-2023,14311.2,Paid
PAY09315,LOAN20017,01-02-2024,30-01-2024,14311.2,Paid
PAY09316,LOAN20017,01-03-2024,01-03-2024,13522.91526,Partial
PAY09317,LOAN20017,01-04-2024,28-03-2024,14311.2,Paid
PAY09318,LOAN20017,01-05-2024,02-05-2024,14311.2,Paid
PAY09319,LOAN20017,01-06-2024,28-05-2024,14311.2,Paid
PAY09320,LOAN20017,01-07-2024,22-06-2024,14311.2,Paid
PAY09321,LOAN20017,01-08-2024,28-07-2024,14311.2,Paid
PAY09322,LOAN20017,01-09-2024,27-08-2024,14311.2,Paid
PAY09323,LOAN20017,01-10-2024,25-09-2024,14311.2,Paid
PAY09324,LOAN20017,01-11-2024,02-11-2024,14311.2,Paid
PAY09325,LOAN20017,01-12-2024,29-11-2024,14311.2,Paid
PAY09326,LOAN20017,01-01-2025,23-12-2024,14311.2,Paid
PAY09327,LOAN20017,01-02-2025,24-01-2025,14311.2,Paid
PAY09328,LOAN20017,01-03-2025,23-02-2025,14311.2,Paid
PAY09329,LOAN20017,01-04-2025,26-03-2025,14311.2,Paid
PAY09330,LOAN20017,01-05-2025,01-05-2025,14311.2,Paid
PAY09331,LOAN20017,01-06-2025,01-06-2025,13984.25223,Partial
PAY03710,LOAN20024,01-04-2025,22-03-2025,72515.52,Paid
PAY03711,LOAN20024,01-05-2025,26-04-2025,72515.52,Paid
PAY03712,LOAN20024,01-06-2025,29-05-2025,72515.52,Paid
PAY04017,LOAN20030,01-08-2022,22-07-2022,56294.65,Paid
PAY04018,LOAN20030,01-09-2022,30-08-2022,56294.65,Paid
PAY04019,LOAN20030,01-10-2022,29-09-2022,56294.65,Paid
PAY04020,LOAN20030,01-11-2022,24-10-2022,56294.65,Paid
PAY04021,LOAN20030,01-12-2022,02-12-2022,56294.65,Paid
PAY04022,LOAN20030,01-01-2023,22-12-2022,56294.65,Paid
PAY04023,LOAN20030,01-02-2023,29-01-2023,56294.65,Paid
PAY04024,LOAN20030,01-03-2023,24-02-2023,56294.65,Paid
PAY04025,LOAN20030,01-04-2023,23-03-2023,56294.65,Paid
PAY04026,LOAN20030,01-05-2023,03-05-2023,54858.47016,Partial
PAY04027,LOAN20030,01-06-2023,23-05-2023,56294.65,Paid
PAY04028,LOAN20030,01-07-2023,24-06-2023,56294.65,Paid
PAY04029,LOAN20030,01-08-2023,28-07-2023,56294.65,Paid
PAY04030,LOAN20030,01-09-2023,22-08-2023,56294.65,Paid
PAY04031,LOAN20030,01-10-2023,28-09-2023,56294.65,Paid
PAY04032,LOAN20030,01-11-2023,26-10-2023,56294.65,Paid
PAY04033,LOAN20030,01-12-2023,24-11-2023,56294.65,Paid
PAY04034,LOAN20030,01-01-2024,02-01-2024,56294.65,Paid
PAY04035,LOAN20030,01-02-2024,01-02-2024,56294.65,Paid
PAY04036,LOAN20030,01-03-2024,01-03-2024,56294.65,Paid
PAY04037,LOAN20030,01-04-2024,23-03-2024,56294.65,Paid
PAY04038,LOAN20030,01-05-2024,28-04-2024,56294.65,Paid
PAY04039,LOAN20030,01-06-2024,30-05-2024,56294.65,Paid
PAY04040,LOAN20030,01-07-2024,25-06-2024,56294.65,Paid
PAY04041,LOAN20030,01-08-2024,28-07-2024,56294.65,Paid
PAY04042,LOAN20030,01-09-2024,26-08-2024,56294.65,Paid
PAY04043,LOAN20030,01-10-2024,22-09-2024,56294.65,Paid
PAY04044,LOAN20030,01-11-2024,27-10-2024,56294.65,Paid
PAY04045,LOAN20030,01-12-2024,22-11-2024,56294.65,Paid
PAY04046,LOAN20030,01-01-2025,24-12-2024,56294.65,Paid
PAY04047,LOAN20030,01-02-2025,01-02-2025,56294.65,Paid
PAY04048,LOAN20030,01-03-2025,01-03-2025,56294.65,Paid
PAY04049,LOAN20030,01-04-2025,31-03-2025,56294.65,Paid
PAY04050,LOAN20030,01-05-2025,02-05-2025,51835.83443,Partial
PAY04051,LOAN20030,01-06-2025,27-05-2025,56294.65,Paid
PAY16179,LOAN20032,01-07-2021,07-07-2021,38544.94358,Partial
PAY16180,LOAN20032,01-08-2021,27-08-2021,82221.03,Late
PAY16181,LOAN20032,01-09-2021,03-09-2021,25433.4585,Partial
PAY16182,LOAN20032,01-10-2021,04-10-2021,82221.03,Bounced
PAY16183,LOAN20032,01-11-2021,07-11-2021,62472.63186,Partial
PAY16184,LOAN20032,01-12-2021,29-11-2021,82221.03,Paid
PAY16185,LOAN20032,01-01-2022,07-01-2022,82221.03,Bounced
PAY16186,LOAN20032,01-02-2022,,0,Skipped
PAY16187,LOAN20032,01-03-2022,31-03-2022,82221.03,Late
PAY16188,LOAN20032,01-04-2022,,0,Skipped
PAY16189,LOAN20032,01-05-2022,,0,Skipped
PAY16190,LOAN20032,01-06-2022,,0,Skipped
PAY16191,LOAN20032,01-07-2022,01-07-2022,82221.03,Bounced
PAY16192,LOAN20032,01-08-2022,08-10-2022,82221.03,Late
PAY16193,LOAN20032,01-09-2022,02-09-2022,82221.03,Bounced
PAY16194,LOAN20032,01-10-2022,15-10-2022,28193.74088,Partial
PAY16195,LOAN20032,01-11-2022,,0,Skipped
PAY16196,LOAN20032,01-12-2022,16-01-2023,82221.03,Late
PAY16197,LOAN20032,01-01-2023,09-01-2023,42341.1973,Partial
PAY16198,LOAN20032,01-02-2023,06-02-2023,35792.10958,Partial
PAY16199,LOAN20032,01-03-2023,08-05-2023,82221.03,Late
PAY16200,LOAN20032,01-04-2023,11-04-2023,35063.82507,Partial
PAY16201,LOAN20032,01-05-2023,01-05-2023,82221.03,Bounced
PAY16202,LOAN20032,01-06-2023,03-06-2023,82221.03,Bounced
PAY16203,LOAN20032,01-07-2023,,0,Skipped
PAY16204,LOAN20032,01-08-2023,01-08-2023,82221.03,Bounced
PAY16205,LOAN20032,01-09-2023,30-08-2023,82221.03,Paid
PAY16206,LOAN20032,01-10-2023,13-10-2023,73258.44777,Partial
PAY06094,LOAN20035,01-10-2023,04-10-2023,67089.45,Bounced
PAY06095,LOAN20035,01-11-2023,02-11-2023,67089.45,Paid
PAY06096,LOAN20035,01-12-2023,26-11-2023,67089.45,Paid
PAY06097,LOAN20035,01-01-2024,04-01-2024,67089.45,Bounced
PAY06098,LOAN20035,01-02-2024,12-02-2024,20701.85139,Partial
PAY06099,LOAN20035,01-03-2024,08-05-2024,67089.45,Late
PAY06100,LOAN20035,01-04-2024,03-04-2024,67089.45,Bounced
PAY06101,LOAN20035,01-05-2024,02-05-2024,34654.34152,Partial
PAY06102,LOAN20035,01-06-2024,11-06-2024,55406.47261,Partial
PAY06103,LOAN20035,01-07-2024,,0,Skipped
PAY06104,LOAN20035,01-08-2024,05-08-2024,26452.41685,Partial
PAY06105,LOAN20035,01-09-2024,12-09-2024,56626.4539,Partial
PAY06106,LOAN20035,01-10-2024,09-10-2024,67089.45,Late
PAY06107,LOAN20035,01-11-2024,16-01-2025,67089.45,Late
PAY06108,LOAN20035,01-12-2024,02-12-2024,67089.45,Bounced
PAY06109,LOAN20035,01-01-2025,15-01-2025,67089.45,Late
PAY06110,LOAN20035,01-02-2025,04-02-2025,67089.45,Bounced
PAY06111,LOAN20035,01-03-2025,10-03-2025,59424.8296,Partial
PAY06112,LOAN20035,01-04-2025,03-04-2025,67089.45,Bounced
PAY06113,LOAN20035,01-05-2025,12-05-2025,43060.50732,Partial
PAY06114,LOAN20035,01-06-2025,,0,Skipped
PAY07095,LOAN20036,01-12-2021,,0,Skipped
PAY07096,LOAN20036,01-01-2022,,0,Skipped
PAY07097,LOAN20036,01-02-2022,15-02-2022,26164.45,Late
PAY07098,LOAN20036,01-03-2022,,0,Skipped
PAY07099,LOAN20036,01-04-2022,02-04-2022,26164.45,Bounced
PAY07100,LOAN20036,01-05-2022,02-05-2022,26164.45,Bounced
PAY07101,LOAN20036,01-06-2022,15-06-2022,13907.30131,Partial
PAY07102,LOAN20036,01-07-2022,11-07-2022,20145.09899,Partial
PAY07103,LOAN20036,01-08-2022,04-08-2022,26164.45,Bounced
PAY07104,LOAN20036,01-09-2022,,0,Skipped
PAY07105,LOAN20036,01-10-2022,28-09-2022,26164.45,Paid
PAY07106,LOAN20036,01-11-2022,08-12-2022,26164.45,Late
PAY07107,LOAN20036,01-12-2022,17-12-2022,26164.45,Late
PAY07108,LOAN20036,01-01-2023,24-03-2023,26164.45,Late
PAY07109,LOAN20036,01-02-2023,07-02-2023,26164.45,Bounced
PAY07110,LOAN20036,01-03-2023,23-03-2023,26164.45,Late
PAY07111,LOAN20036,01-04-2023,06-04-2023,12093.01735,Partial
PAY07112,LOAN20036,01-05-2023,04-05-2023,26164.45,Bounced
PAY07113,LOAN20036,01-06-2023,07-06-2023,26164.45,Bounced
PAY07114,LOAN20036,01-07-2023,06-07-2023,26164.45,Bounced
PAY07115,LOAN20036,01-08-2023,08-09-2023,26164.45,Late
PAY07116,LOAN20036,01-09-2023,,0,Skipped
PAY07117,LOAN20036,01-10-2023,09-12-2023,26164.45,Late
PAY07118,LOAN20036,01-11-2023,06-11-2023,26164.45,Bounced
PAY07119,LOAN20036,01-12-2023,20-12-2023,26164.45,Late
PAY07120,LOAN20036,01-01-2024,06-03-2024,26164.45,Late
PAY07121,LOAN20036,01-02-2024,14-04-2024,26164.45,Late
PAY07122,LOAN20036,01-03-2024,,0,Skipped
PAY07123,LOAN20036,01-04-2024,24-05-2024,26164.45,Late
PAY07124,LOAN20036,01-05-2024,,0,Skipped
PAY07125,LOAN20036,01-06-2024,,0,Skipped
PAY07126,LOAN20036,01-07-2024,06-07-2024,26164.45,Bounced
PAY07127,LOAN20036,01-08-2024,05-08-2024,14227.66008,Partial
PAY07128,LOAN20036,01-09-2024,01-09-2024,26164.45,Bounced
PAY07129,LOAN20036,01-10-2024,,0,Skipped
PAY07130,LOAN20036,01-11-2024,01-01-2025,26164.45,Late
PAY07131,LOAN20036,01-12-2024,25-12-2024,26164.45,Late
PAY07132,LOAN20036,01-01-2025,03-01-2025,26164.45,Paid
PAY07133,LOAN20036,01-02-2025,03-02-2025,26164.45,Bounced
PAY07134,LOAN20036,01-03-2025,13-03-2025,26164.45,Late
PAY07135,LOAN20036,01-04-2025,02-04-2025,26164.45,Bounced
PAY07136,LOAN20036,01-05-2025,,0,Skipped
PAY07137,LOAN20036,01-06-2025,04-06-2025,26164.45,Bounced
PAY15340,LOAN20040,01-01-2025,01-01-2025,57720.07,Paid
PAY15341,LOAN20040,01-02-2025,30-01-2025,57720.07,Paid
PAY15342,LOAN20040,01-03-2025,26-02-2025,57720.07,Paid
PAY15343,LOAN20040,01-04-2025,27-03-2025,57720.07,Paid
PAY15344,LOAN20040,01-05-2025,24-04-2025,57720.07,Paid
PAY15345,LOAN20040,01-06-2025,28-05-2025,57720.07,Paid
PAY13762,LOAN20048,01-11-2022,,0,Skipped
PAY13763,LOAN20048,01-12-2022,,0,Skipped
PAY13764,LOAN20048,01-01-2023,01-01-2023,82473.32,Bounced
PAY13765,LOAN20048,01-02-2023,,0,Skipped
PAY13766,LOAN20048,01-03-2023,,0,Skipped
PAY13767,LOAN20048,01-04-2023,,0,Skipped
PAY13768,LOAN20048,01-05-2023,07-05-2023,56107.52826,Partial
PAY13769,LOAN20048,01-06-2023,12-07-2023,82473.32,Late
PAY13770,LOAN20048,01-07-2023,02-07-2023,82473.32,Paid
PAY13771,LOAN20048,01-08-2023,07-08-2023,82473.32,Bounced
PAY13772,LOAN20048,01-09-2023,23-11-2023,82473.32,Late
PAY13773,LOAN20048,01-10-2023,05-10-2023,48389.66234,Partial
PAY13774,LOAN20048,01-11-2023,06-11-2023,29146.21675,Partial
PAY13775,LOAN20048,01-12-2023,04-12-2023,82473.32,Bounced
PAY13776,LOAN20048,01-01-2024,,0,Skipped
PAY13777,LOAN20048,01-02-2024,17-03-2024,82473.32,Late
PAY13778,LOAN20048,01-03-2024,15-03-2024,66086.04576,Partial
PAY13779,LOAN20048,01-04-2024,,0,Skipped
PAY13780,LOAN20048,01-05-2024,,0,Skipped
PAY13781,LOAN20048,01-06-2024,,0,Skipped
PAY13782,LOAN20048,01-07-2024,23-09-2024,82473.32,Late
PAY13783,LOAN20048,01-08-2024,25-09-2024,82473.32,Late
PAY13784,LOAN20048,01-09-2024,13-09-2024,65663.91027,Partial
PAY13785,LOAN20048,01-10-2024,18-11-2024,82473.32,Late
PAY13786,LOAN20048,01-11-2024,,0,Skipped
PAY13787,LOAN20048,01-12-2024,,0,Skipped
PAY13788,LOAN20048,01-01-2025,13-01-2025,82473.32,Late
PAY13789,LOAN20048,01-02-2025,04-02-2025,82473.32,Bounced
PAY13790,LOAN20048,01-03-2025,06-03-2025,82473.32,Bounced
PAY13791,LOAN20048,01-04-2025,07-04-2025,82473.32,Bounced
PAY13792,LOAN20048,01-05-2025,,0,Skipped
PAY13793,LOAN20048,01-06-2025,24-07-2025,82473.32,Late
PAY12231,LOAN20053,01-07-2021,02-07-2021,95290,Paid
PAY12232,LOAN20053,01-08-2021,22-07-2021,95290,Paid
PAY12233,LOAN20053,01-09-2021,22-08-2021,95290,Paid
PAY12234,LOAN20053,01-10-2021,21-09-2021,95290,Paid
PAY12235,LOAN20053,01-11-2021,24-10-2021,95290,Paid
PAY12236,LOAN20053,01-12-2021,25-11-2021,95290,Paid
PAY12237,LOAN20053,01-01-2022,24-12-2021,95290,Paid
PAY12238,LOAN20053,01-02-2022,30-01-2022,95290,Paid
PAY12239,LOAN20053,01-03-2022,25-02-2022,95290,Paid
PAY12240,LOAN20053,01-04-2022,25-03-2022,95290,Paid
PAY12241,LOAN20053,01-05-2022,29-04-2022,95290,Paid
PAY12242,LOAN20053,01-06-2022,01-06-2022,95290,Paid
PAY12243,LOAN20053,01-07-2022,25-06-2022,95290,Paid
PAY12244,LOAN20053,01-08-2022,24-07-2022,95290,Paid
PAY12245,LOAN20053,01-09-2022,01-09-2022,95290,Paid
PAY12246,LOAN20053,01-10-2022,21-09-2022,95290,Paid
PAY12247,LOAN20053,01-11-2022,28-10-2022,95290,Paid
PAY12248,LOAN20053,01-12-2022,30-11-2022,95290,Paid
PAY12249,LOAN20053,01-01-2023,02-01-2023,95290,Paid
PAY12250,LOAN20053,01-02-2023,25-01-2023,95290,Paid
PAY12251,LOAN20053,01-03-2023,24-02-2023,95290,Paid
PAY12252,LOAN20053,01-04-2023,28-03-2023,95290,Paid
PAY12253,LOAN20053,01-05-2023,02-05-2023,95290,Late
PAY12254,LOAN20053,01-06-2023,30-05-2023,95290,Paid
PAY12255,LOAN20053,01-07-2023,27-06-2023,95290,Paid
PAY12256,LOAN20053,01-08-2023,31-07-2023,95290,Paid
PAY12257,LOAN20053,01-09-2023,29-08-2023,95290,Paid
PAY12258,LOAN20053,01-10-2023,27-09-2023,95290,Paid
PAY12259,LOAN20053,01-11-2023,25-10-2023,95290,Paid
PAY12260,LOAN20053,01-12-2023,28-11-2023,95290,Paid
PAY12261,LOAN20053,01-01-2024,29-12-2023,95290,Paid
PAY12262,LOAN20053,01-02-2024,22-01-2024,95290,Paid
PAY12263,LOAN20053,01-03-2024,21-02-2024,95290,Paid
PAY12264,LOAN20053,01-04-2024,22-03-2024,95290,Paid
PAY12265,LOAN20053,01-05-2024,29-04-2024,95290,Paid
PAY12266,LOAN20053,01-06-2024,02-06-2024,95290,Paid
PAY06413,LOAN20054,01-04-2024,07-04-2024,8619.64,Late
PAY06414,LOAN20054,01-05-2024,27-06-2024,8619.64,Late
PAY06415,LOAN20054,01-06-2024,,0,Skipped
PAY06416,LOAN20054,01-07-2024,,0,Skipped
PAY06417,LOAN20054,01-08-2024,11-08-2024,5423.351097,Partial
PAY06418,LOAN20054,01-09-2024,,0,Skipped
PAY06419,LOAN20054,01-10-2024,10-10-2024,6043.317703,Partial
PAY06420,LOAN20054,01-11-2024,12-11-2024,2627.998866,Partial
PAY06421,LOAN20054,01-12-2024,14-12-2024,7369.681739,Partial
PAY06422,LOAN20054,01-01-2025,,0,Skipped
PAY06423,LOAN20054,01-02-2025,,0,Skipped
PAY06424,LOAN20054,01-03-2025,,0,Skipped
PAY06425,LOAN20054,01-04-2025,,0,Skipped
PAY06426,LOAN20054,01-05-2025,06-05-2025,8619.64,Bounced
PAY06427,LOAN20054,01-06-2025,07-06-2025,8619.64,Bounced
PAY18114,LOAN20056,01-09-2022,23-08-2022,46359.31,Paid
PAY18115,LOAN20056,01-10-2022,01-10-2022,46359.31,Paid
PAY18116,LOAN20056,01-11-2022,02-11-2022,46359.31,Paid
PAY18117,LOAN20056,01-12-2022,26-11-2022,46359.31,Paid
PAY18118,LOAN20056,01-01-2023,29-12-2022,46359.31,Paid
PAY18119,LOAN20056,01-02-2023,24-01-2023,46359.31,Paid
PAY18120,LOAN20056,01-03-2023,20-02-2023,46359.31,Paid
PAY18121,LOAN20056,01-04-2023,29-03-2023,46359.31,Paid
PAY18122,LOAN20056,01-05-2023,22-04-2023,46359.31,Paid
PAY18123,LOAN20056,01-06-2023,01-06-2023,46359.31,Paid
PAY18124,LOAN20056,01-07-2023,29-06-2023,46359.31,Paid
PAY18125,LOAN20056,01-08-2023,22-07-2023,46359.31,Paid
PAY18126,LOAN20056,01-09-2023,29-08-2023,46359.31,Paid
PAY18127,LOAN20056,01-10-2023,26-09-2023,46359.31,Paid
PAY18128,LOAN20056,01-11-2023,28-10-2023,46359.31,Paid
PAY18129,LOAN20056,01-12-2023,26-11-2023,46359.31,Paid
PAY18130,LOAN20056,01-01-2024,30-12-2023,46359.31,Paid
PAY18131,LOAN20056,01-02-2024,28-01-2024,46359.31,Paid
PAY18132,LOAN20056,01-03-2024,22-02-2024,46359.31,Paid
PAY18133,LOAN20056,01-04-2024,29-03-2024,46359.31,Paid
PAY18134,LOAN20056,01-05-2024,02-05-2024,46359.31,Paid
PAY18135,LOAN20056,01-06-2024,29-05-2024,46359.31,Paid
PAY18136,LOAN20056,01-07-2024,26-06-2024,46359.31,Paid
PAY18137,LOAN20056,01-08-2024,02-08-2024,46359.31,Paid
PAY17974,LOAN20059,01-11-2022,31-10-2022,92266.31,Paid
PAY17975,LOAN20059,01-12-2022,01-12-2022,92266.31,Paid
