LOAN_ID,CUSTOMER_ID,LOAN_AMOUNT,LOAN_TYPE,RATE_OF_INTEREST,EMI,TERM_MONTHS,LOAN_STATUS,ISSUE_DATE
LOAN20069,CUST10296,"13,44,707.00",Asset,10,"57,738.98",26,Active,08-04-2023
LOAN20070,CUST10626,"8,91,080.00",Personal,15,"34,849.62",31,Active,02-08-2024
LOAN20071,CUST10724,"18,11,747.00",Personal,13,"56,054.98",40,Closed,05-08-2022
LOAN20072,CUST10649,"23,42,581.00",Asset,8,"51,800.14",54,Active,05-01-2023
LOAN20073,CUST10633,"8,01,116.00",Asset,8,"19,557.58",48,Active,08-05-2025
LOAN20074,CUST10321,"28,86,674.00",Asset,9,"91,795.46",36,Active,02-04-2025
LOAN20075,CUST10654,"17,14,674.00",Education,12,"41,249.20",54,Closed,15-04-2023
LOAN20076,CUST10042,"1,64,179.00",Education,12,"5,453.09",36,Active,10-08-2023
LOAN20077,CUST10157,"24,47,188.00",Education,13,"1,16,343.78",24,Closed,22-07-2021
LOAN20078,CUST10924,"13,52,145.00",Personal,13,"32,760.71",55,Closed,08-05-2025
LOAN20079,CUST10949,"12,06,932.00",Business,15,"28,712.83",60,Active,29-03-2025
LOAN20080,CUST10246,"12,24,841.00",Business,14,"40,950.95",37,Active,06-01-2023
LOAN20081,CUST10646,"12,84,987.00",Personal,13,"42,338.77",37,Active,06-01-2022
LOAN20082,CUST10073,"23,35,126.00",Personal,15,"56,844.04",58,Active,19-03-2025
LOAN20083,CUST10678,"22,60,693.00",Education,12,"52,918.85",56,Active,24-07-2021
LOAN20084,CUST10745,"19,03,329.00",Education,15,"78,649.90",29,Closed,01-07-2024
LOAN20085,CUST10535,"2,05,350.00",Asset,8,"7,147.29",32,Active,02-06-2025
LOAN20086,CUST10411,"26,56,681.00",Business,13,"79,068.39",42,Active,09-04-2022
LOAN20087,CUST10973,"23,07,594.00",Education,13,"95,986.71",28,Active,11-07-2024
LOAN20088,CUST10247,"16,79,430.00",Personal,12,"58,511.29",34,Active,26-06-2021
LOAN20089,CUST10714,"27,50,689.00",Personal,15,"87,805.88",40,Active,09-08-2022
LOAN20090,CUST10800,"24,48,088.00",Asset,8,"49,638.40",60,Active,15-08-2024
LOAN20091,CUST10004,"6,51,902.00",Business,12,"25,259.97",30,Active,09-10-2021
LOAN20092,CUST10271,"4,89,729.00",Education,15,"15,632.84",40,Active,05-02-2023
LOAN20093,CUST10641,"2,92,134.00",Asset,8,"9,154.42",36,Closed,03-03-2024
LOAN20094,CUST10024,"9,78,109.00",Asset,9,"25,690.24",45,Active,25-07-2023
LOAN20095,CUST10341,"12,96,611.00",Business,12,"50,241.23",30,Active,22-03-2023
LOAN20096,CUST10568,"18,77,160.00",Asset,9,"47,539.69",47,Active,30-05-2023
LOAN20097,CUST10862,"11,85,884.00",Asset,10,"29,577.56",49,Closed,18-08-2021
LOAN20098,CUST10648,"22,35,718.00",Asset,8,"52,727.53",50,Active,18-01-2023
LOAN20099,CUST10728,"19,20,549.00",Business,13,"71,341.29",32,Active,24-01-2023
LOAN20100,CUST10919,"27,43,108.00",Personal,15,"66,775.55",58,Active,10-11-2021
LOAN20101,CUST10419,"15,92,210.00",Personal,12,"35,417.83",60,Active,24-08-2021
LOAN20102,CUST10505,"17,15,022.00",Asset,10,"59,658.29",33,Active,05-06-2025
LOAN20103,CUST10192,"1,27,486.00",Asset,9,"3,549.79",42,Active,05-03-2023
LOAN20104,CUST10600,"12,51,908.00",Education,14,"35,917.37",45,Active,06-06-2022
LOAN20105,CUST10610,"28,70,334.00",Asset,8,"1,12,717.54",28,Active,24-05-2025
LOAN20106,CUST10126,"10,94,663.00",Business,12,"51,529.59",24,Active,11-01-2022
LOAN20107,CUST10247,"27,29,583.00",Business,12,"1,15,858.59",27,Active,09-03-2025
LOAN20108,CUST10021,"9,62,495.00",Asset,9,"21,742.16",54,Active,30-08-2022
LOAN20109,CUST10506,"4,25,991.00",Personal,13,"19,542.69",25,Active,17-03-2025
LOAN20110,CUST10018,"8,51,969.00",Asset,9,"29,239.98",33,Active,15-01-2025
LOAN20111,CUST10640,"12,35,979.00",Education,12,"40,129.83",37,Active,10-12-2023
LOAN20112,CUST10431,"18,43,590.00",Education,12,"64,230.62",34,Closed,15-03-2023
LOAN20113,CUST10899,"22,73,056.00",Business,14,"90,236.60",30,Active,07-02-2024
LOAN20114,CUST10592,"10,58,633.00",Personal,12,"23,840.62",59,Active,02-01-2022
LOAN20115,CUST10467,"10,98,600.00",Asset,10,"50,694.82",24,Closed,17-12-2021
LOAN20116,CUST10204,"6,76,758.00",Personal,15,"32,813.73",24,Active,27-05-2023
LOAN20117,CUST10577,"28,14,499.00",Personal,15,"83,550.02",44,Active,02-01-2025
LOAN20118,CUST10042,"1,33,134.00",Asset,9,"4,339.06",35,Active,13-07-2022
LOAN20119,CUST10625,"16,39,385.00",Personal,14,"54,810.68",37,Active,02-08-2021
LOAN20120,CUST10596,"19,17,354.00",Personal,13,"85,013.08",26,Active,25-12-2024
LOAN20121,CUST10943,"24,00,714.00",Asset,10,"53,823.26",56,Active,02-05-2025
LOAN20122,CUST10158,"8,79,705.00",Asset,9,"25,537.97",40,Active,19-07-2021
LOAN20123,CUST10919,"3,55,469.00",Education,13,"10,579.50",42,Closed,21-08-2023
LOAN20124,CUST10560,"6,59,447.00",Education,13,"16,654.08",52,Active,28-09-2023
LOAN20125,CUST10035,"28,01,882.00",Business,13,"1,13,105.00",29,Active,19-10-2023
LOAN20126,CUST10132,"4,49,646.00",Business,15,"11,976.64",51,Active,01-01-2023
LOAN20127,CUST10197,"17,57,815.00",Personal,13,"41,495.68",57,Active,02-08-2022
LOAN20128,CUST10947,"16,65,750.00",Personal,14,"74,644.85",26,Closed,06-10-2022
LOAN20129,CUST10233,"20,23,576.00",Education,13,"73,261.30",33,Closed,22-11-2023
LOAN20130,CUST10314,"9,78,007.00",Business,12,"42,904.07",26,Active,06-03-2022
LOAN20131,CUST10585,"17,69,394.00",Business,14,"43,769.63",55,Active,06-06-2023
LOAN20132,CUST10736,"20,66,734.00",Education,12,"62,943.62",40,Active,10-03-2024
LOAN20133,CUST10615,"24,21,455.00",Business,14,"64,193.95",50,Closed,20-06-2021
LOAN20134,CUST10609,"4,84,957.00",Education,14,"12,320.36",53,Closed,02-09-2024
LOAN20135,CUST10177,"8,63,415.00",Personal,13,"19,882.34",59,Active,11-06-2024
LOAN20136,CUST10135,"19,21,077.00",Asset,10,"43,069.94",56,Closed,12-03-2024
LOAN20137,CUST10434,"12,18,369.00",Personal,12,"27,437.91",59,Closed,12-07-2024
LOAN20138,CUST10783,"17,95,798.00",Asset,10,"69,964.06",29,Active,27-10-2024
LOAN20139,CUST10719,"14,09,813.00",Business,14,"53,044.65",32,Active,28-09-2023
LOAN20140,CUST10075,"22,22,167.00",Asset,10,"49,820.29",56,Active,21-01-2024
LOAN20141,CUST10157,"27,98,937.00",Asset,10,"79,256.99",42,Active,12-07-2022
LOAN20142,CUST10002,"27,52,489.00",Business,12,"73,687.19",47,Active,05-08-2021
LOAN20143,CUST10632,"29,13,194.00",Education,14,"1,01,859.01",35,Active,10-03-2024
LOAN20144,CUST10419,"23,22,678.00",Asset,9,"50,227.81",57,Closed,20-10-2023
LOAN20145,CUST10307,"13,94,217.00",Personal,13,"34,715.15",53,Closed,12-06-2021
LOAN20146,CUST10623,"23,70,698.00",Personal,14,"61,066.67",52,Active,01-05-2024
LOAN20147,CUST10643,"16,91,963.00",Business,14,"63,660.63",32,Active,08-09-2023
LOAN20148,CUST10564,"21,25,080.00",Personal,13,"54,453.37",51,Active,09-05-2023
LOAN20149,CUST10785,"7,38,322.00",Personal,15,"24,526.93",38,Closed,15-02-2024
LOAN20150,CUST10680,"29,30,347.00",Asset,8,"71,538.33",48,Active,26-12-2022
LOAN20151,CUST10997,"12,95,455.00",Business,12,"56,830.16",26,Active,29-09-2024
LOAN20152,CUST10697,"14,21,606.00",Asset,9,"50,134.84",32,Active,22-10-2024
LOAN20153,CUST10499,"23,95,740.00",Education,15,"93,695.99",31,Active,06-06-2022
LOAN20154,CUST10815,"27,62,637.00",Personal,13,"64,402.11",58,Active,13-07-2022
LOAN20155,CUST10510,"24,38,621.00",Personal,15,"70,029.27",46,Active,28-01-2023
LOAN20156,CUST10968,"6,23,035.00",Business,15,"22,606.12",34,Closed,09-03-2025
LOAN20157,CUST10091,"6,26,628.00",Asset,9,"20,422.87",35,Active,24-08-2022
LOAN20158,CUST10822,"6,35,320.00",Personal,14,"18,227.40",45,Active,16-02-2025
LOAN20159,CUST10404,"7,95,112.00",Business,12,"29,956.43",31,Active,29-01-2025
LOAN20160,CUST10651,"19,36,399.00",Asset,10,"46,040.22",52,Active,02-12-2024
LOAN20161,CUST10801,"29,88,623.00",Asset,8,"83,549.79",41,Closed,23-11-2024
LOAN20162,CUST10711,"17,18,762.00",Education,13,"60,702.30",34,Active,05-07-2023
LOAN20163,CUST10751,"20,42,545.00",Personal,14,"53,365.84",51,Closed,30-05-2023
LOAN20164,CUST10106,"27,50,508.00",Education,15,"99,799.07",34,Closed,20-01-2025
LOAN20165,CUST10065,"14,71,657.00",Business,14,"63,855.17",27,Active,25-08-2023
LOAN20166,CUST10552,"4,13,729.00",Education,15,"9,842.58",60,Active,17-01-2022
LOAN20167,CUST10093,"20,68,575.00",Asset,9,"91,051.42",25,Active,19-03-2023
LOAN20168,CUST10754,"7,74,367.00",Asset,9,"21,135.09",43,Active,21-04-2022
LOAN20169,CUST10923,"6,74,129.00",Business,13,"25,718.12",31,Closed,06-01-2024
LOAN20170,CUST10275,"28,79,808.00",Asset,9,"63,167.97",56,Active,27-08-2022
LOAN20171,CUST10076,"19,35,870.00",Business,13,"54,582.00",45,Active,03-07-2021
LOAN20172,CUST10107,"27,25,065.00",Education,12,"74,197.39",46,Closed,16-08-2021
LOAN20173,CUST10134,"3,35,510.00",Asset,10,"12,325.77",31,Closed,24-12-2024
LOAN20174,CUST10509,"5,59,823.00",Personal,13,"13,939.25",53,Closed,26-01-2022
LOAN20175,CUST10186,"24,16,611.00",Education,15,"65,291.09",50,Active,30-11-2022
LOAN20176,CUST10765,"6,17,532.00",Business,13,"21,809.66",34,Active,04-06-2024
LOAN20177,CUST10180,"14,69,403.00",Business,14,"41,459.68",46,Active,12-11-2021
LOAN20178,CUST10581,"25,43,767.00",Personal,14,"86,939.93",36,Active,16-11-2024
LOAN20179,CUST10540,"1,33,923.00",Education,14,"3,312.86",55,Active,04-12-2022
LOAN20180,CUST10424,"13,77,596.00",Education,15,"44,845.78",39,Active,14-04-2024
LOAN20181,CUST10894,"7,20,457.00",Asset,8,"21,525.00",38,Active,03-10-2022
LOAN20182,CUST10031,"5,74,761.00",Asset,8,"18,466.48",35,Active,30-12-2024
LOAN20183,CUST10764,"1,57,300.00",Asset,10,"4,367.68",43,Active,18-03-2023
LOAN20184,CUST10196,"10,86,280.00",Education,12,"44,672.65",28,Active,15-03-2025
LOAN20185,CUST10179,"17,96,858.00",Asset,10,"51,918.82",41,Active,01-09-2021
LOAN20186,CUST10730,"23,14,288.00",Personal,12,"73,505.25",38,Active,23-04-2023
LOAN20187,CUST10504,"1,98,212.00",Asset,10,"7,082.29",32,Active,20-04-2024
LOAN20188,CUST10121,"15,58,655.00",Business,15,"66,318.64",28,Active,04-11-2024
LOAN20189,CUST10876,"6,07,724.00",Education,14,"18,053.93",43,Closed,26-05-2023
LOAN20190,CUST10025,"1,81,973.00",Personal,15,"8,823.26",24,Active,19-03-2022
LOAN20191,CUST10681,"29,64,142.00",Asset,10,"1,15,482.59",29,Active,11-12-2024
LOAN20192,CUST10905,"28,15,396.00",Asset,9,"87,420.36",37,Active,11-09-2024
LOAN20193,CUST10418,"25,82,344.00",Personal,15,"61,433.78",60,Active,13-05-2022
LOAN20194,CUST10861,"21,41,459.00",Asset,9,"46,972.44",56,Active,03-11-2024
LOAN20195,CUST10988,"16,33,334.00",Asset,10,"46,250.82",42,Active,26-10-2023
LOAN20196,CUST10052,"19,86,941.00",Asset,10,"69,117.19",33,Active,05-12-2021
LOAN20197,CUST10389,"28,22,624.00",Personal,14,"85,393.54",42,Active,12-09-2024
LOAN20198,CUST10230,"21,51,322.00",Asset,10,"74,835.30",33,Active,06-05-2025
LOAN20199,CUST10874,"6,12,695.00",Asset,9,"15,798.31",46,Active,25-04-2025
LOAN20200,CUST10031,"14,34,347.00",Asset,8,"34,410.00",49,Closed,23-03-2025
LOAN20201,CUST10198,"24,87,638.00",Business,14,"70,189.51",46,Active,14-06-2024
LOAN20202,CUST10052,"19,44,543.00",Business,13,"55,795.24",44,Closed,26-05-2023
LOAN20203,CUST10539,"82,198.00",Business,14,"2,117.33",52,Closed,31-08-2023
LOAN20204,CUST10577,"22,90,046.00",Asset,10,"60,138.24",46,Active,04-10-2022
LOAN20205,CUST10588,"8,01,108.00",Business,15,"23,005.22",46,Active,26-03-2023
LOAN20206,CUST10374,"11,39,600.00",Asset,8,"25,199.32",54,Active,14-09-2021
LOAN20207,CUST10189,"8,41,813.00",Business,13,"36,127.44",27,Active,05-02-2025
LOAN20208,CUST10147,"12,48,449.00",Business,13,"40,254.19",38,Active,02-05-2025
LOAN20209,CUST10309,"16,05,964.00",Asset,9,"38,011.36",51,Active,29-11-2021
LOAN20210,CUST10612,"6,89,173.00",Asset,9,"17,453.53",47,Closed,07-10-2023
LOAN20211,CUST10715,"29,57,061.00",Asset,8,"1,24,252.34",26,Active,26-12-2021
LOAN20212,CUST10685,"5,49,039.00",Asset,10,"15,864.06",41,Active,18-12-2024
LOAN20213,CUST10909,"7,04,410.00",Personal,14,"20,559.59",44,Active,30-07-2022
LOAN20214,CUST10765,"4,70,350.00",Asset,10,"10,852.11",54,Active,01-12-2024
LOAN20215,CUST10407,"8,06,591.00",Business,15,"19,634.87",58,Active,20-11-2021
LOAN20216,CUST10042,"18,79,714.00",Business,15,"66,637.96",35,Active,18-06-2023
LOAN20217,CUST10926,"10,26,865.00",Business,14,"32,272.67",40,Closed,28-04-2022
LOAN20218,CUST10171,"10,88,366.00",Education,12,"27,347.16",51,Closed,23-09-2023
LOAN20219,CUST10954,"18,27,889.00",Asset,9,"55,461.03",38,Active,04-03-2023
LOAN20220,CUST10816,"19,89,906.00",Asset,9,"47,098.84",51,Active,28-02-2025
LOAN20221,CUST10310,"15,36,337.00",Business,15,"65,369.04",28,Active,27-03-2022
LOAN20222,CUST10011,"19,11,778.00",Asset,9,"40,770.52",58,Closed,03-01-2025
LOAN20223,CUST10508,"19,77,284.00",Personal,13,"55,749.67",45,Active,30-01-2025
LOAN20224,CUST10621,"27,18,364.00",Personal,15,"1,01,035.79",33,Active,05-11-2022
LOAN20225,CUST10709,"10,14,077.00",Personal,14,"32,513.29",39,Closed,28-12-2024
LOAN20226,CUST10436,"4,04,865.00",Asset,10,"12,202.13",39,Closed,03-07-2024
LOAN20227,CUST10454,"14,52,176.00",Asset,8,"44,417.41",37,Active,10-10-2024
LOAN20228,CUST10719,"16,56,821.00",Education,13,"41,253.82",53,Closed,16-12-2022
LOAN20229,CUST10489,"12,10,223.00",Business,15,"47,331.11",31,Active,15-03-2025
LOAN20230,CUST10804,"24,95,333.00",Asset,8,"52,765.11",57,Active,14-10-2021
LOAN20231,CUST10046,"20,03,674.00",Business,14,"48,932.83",56,Active,08-12-2022
LOAN20232,CUST10547,"7,56,912.00",Education,13,"17,645.00",58,Active,13-10-2021
LOAN20233,CUST10502,"5,06,502.00",Business,12,"11,856.32",56,Active,23-01-2024
LOAN20234,CUST10598,"7,21,236.00",Education,15,"18,212.25",55,Closed,10-09-2022
LOAN20235,CUST10464,"24,53,150.00",Personal,14,"72,876.84",43,Active,10-04-2022
LOAN20236,CUST10236,"19,60,970.00",Personal,15,"52,231.83",51,Active,13-09-2022
LOAN20237,CUST10469,"6,59,347.00",Education,15,"19,246.42",45,Active,25-06-2024
LOAN20238,CUST10112,"6,03,736.00",Personal,12,"22,139.53",32,Closed,31-07-2022
LOAN20239,CUST10163,"4,28,984.00",Asset,9,"9,148.50",58,Closed,17-11-2021
LOAN20240,CUST10024,"5,90,589.00",Education,13,"14,503.48",54,Closed,05-08-2024
LOAN20241,CUST10891,"4,33,895.00",Business,13,"11,829.52",47,Active,27-08-2022
LOAN20242,CUST10017,"4,69,318.00",Asset,9,"19,935.19",26,Active,14-01-2024
LOAN20243,CUST10424,"7,33,080.00",Asset,8,"31,932.06",25,Closed,20-07-2021
LOAN20244,CUST10619,"28,48,908.00",Personal,12,"92,498.48",37,Active,17-11-2021
LOAN20245,CUST10976,"9,84,915.00",Business,15,"30,285.21",42,Active,13-05-2025
LOAN20246,CUST10986,"26,58,764.00",Business,15,"70,818.07",51,Active,28-05-2025
LOAN20247,CUST10854,"16,47,217.00",Personal,13,"45,659.18",46,Active,11-10-2022
LOAN20248,CUST10666,"29,20,973.00",Asset,8,"60,889.71",58,Active,23-08-2021
LOAN20249,CUST10886,"25,63,330.00",Asset,8,"62,578.38",48,Closed,08-02-2025
LOAN20250,CUST10227,"19,27,466.00",Education,14,"45,375.19",59,Active,23-10-2021
LOAN20251,CUST10848,"23,36,182.00",Education,12,"79,438.79",35,Active,09-10-2023
LOAN20252,CUST10395,"27,47,245.00",Asset,10,"69,677.23",48,Active,25-06-2021
LOAN20253,CUST10354,"27,76,022.00",Education,15,"66,795.49",59,Active,27-06-2024
LOAN20254,CUST10169,"13,10,998.00",Personal,14,"38,946.41",43,Active,25-03-2025
LOAN20255,CUST10623,"19,78,299.00",Education,15,"75,388.83",32,Active,05-02-2024
LOAN20256,CUST10079,"7,07,078.00",Education,12,"23,485.11",36,Active,11-10-2021
LOAN20257,CUST10157,"76,826.00",Personal,12,"2,056.72",47,Closed,11-11-2023
LOAN20258,CUST10587,"7,95,590.00",Personal,15,"37,251.49",25,Active,01-06-2025
LOAN20259,CUST10392,"28,72,969.00",Asset,10,"1,15,466.86",28,Closed,05-02-2022
LOAN20260,CUST10394,"22,23,261.00",Education,15,"57,619.20",53,Active,18-03-2024
LOAN20261,CUST10798,"18,36,847.00",Business,15,"51,120.83",48,Active,05-03-2022
LOAN20262,CUST10763,"13,29,523.00",Education,14,"45,439.94",36,Active,16-05-2024
LOAN20263,CUST10922,"13,08,630.00",Personal,14,"35,215.14",49,Active,17-04-2022
LOAN20264,CUST10756,"24,96,860.00",Asset,9,"90,569.91",31,Active,19-01-2024
LOAN20265,CUST10714,"13,52,547.00",Education,12,"38,855.12",43,Active,09-11-2023
LOAN20266,CUST10878,"65,744.00",Personal,12,"1,821.44",45,Active,18-05-2022
LOAN20267,CUST10278,"21,54,058.00",Education,14,"83,207.04",31,Active,03-06-2025
LOAN20268,CUST10542,"4,50,599.00",Asset,10,"10,551.93",53,Active,08-03-2023
LOAN20269,CUST10359,"18,10,620.00",Personal,15,"46,311.32",54,Active,15-07-2023
LOAN20270,CUST10395,"20,82,211.00",Business,14,"49,018.10",59,Active,24-03-2024
LOAN20271,CUST10330,"23,73,922.00",Education,15,"66,068.03",48,Active,18-04-2023
LOAN20272,CUST10821,"8,33,229.00",Personal,13,"23,096.26",46,Closed,13-01-2024
LOAN20273,CUST10164,"16,10,199.00",Business,13,"66,977.86",28,Active,28-08-2024
LOAN20274,CUST10921,"22,21,063.00",Business,13,"87,113.53",30,Closed,10-08-2023
LOAN20275,CUST10824,"18,18,132.00",Personal,13,"56,252.53",40,Active,09-03-2023
LOAN20276,CUST10991,"18,53,111.00",Business,13,"79,528.54",27,Closed,24-11-2023
LOAN20277,CUST10514,"3,48,176.00",Personal,14,"10,533.45",42,Active,24-08-2021
LOAN20278,CUST10351,"23,04,389.00",Personal,15,"1,11,732.10",24,Closed,21-11-2022
LOAN20279,CUST10653,"23,97,618.00",Asset,10,"57,900.41",51,Active,23-06-2023
LOAN20280,CUST10534,"2,29,730.00",Education,15,"5,801.02",55,Active,22-07-2023
LOAN20281,CUST10482,"28,02,509.00",Business,13,"94,427.60",36,Closed,17-03-2025
LOAN20282,CUST10527,"12,15,719.00",Business,12,"27,043.00",60,Active,16-07-2022
LOAN20283,CUST10827,"16,12,122.00",Business,15,"47,856.77",44,Active,20-04-2025
LOAN20284,CUST10313,"4,01,365.00",Education,12,"9,522.94",55,Closed,27-01-2022
LOAN20285,CUST10009,"20,33,445.00",Asset,8,"60,752.97",38,Closed,13-03-2025
LOAN20286,CUST10131,"4,47,919.00",Education,13,"12,629.11",45,Active,05-11-2024
LOAN20287,CUST10235,"25,71,685.00",Asset,8,"52,863.96",59,Closed,29-01-2023
LOAN20288,CUST10359,"5,58,391.00",Business,15,"27,074.51",24,Active,11-06-2024
LOAN20289,CUST10027,"15,46,957.00",Asset,8,"34,743.61",53,Active,15-06-2023
LOAN20290,CUST10026,"24,43,681.00",Asset,9,"56,925.61",52,Active,16-04-2025
LOAN20291,CUST10549,"17,10,218.00",Asset,10,"53,904.45",37,Active,29-10-2022
LOAN20292,CUST10272,"5,28,516.00",Business,15,"13,179.81",56,Active,25-03-2023
LOAN20293,CUST10779,"23,49,996.00",Education,15,"57,206.02",58,Active,10-11-2022
LOAN20294,CUST10598,"18,75,017.00",Personal,13,"71,532.16",31,Closed,11-10-2024
LOAN20295,CUST10300,"7,01,560.00",Personal,12,"16,877.14",54,Closed,05-01-2022
