PAYMENT_ID,LOAN_ID,DUE_DATE,PAID_DATE,AMOUNT_PAID,STATUS
PAY17709,LOAN20243,2022-01-01,2021-12-27,31932.06,Paid
PAY17122,LOAN21218,2023-06-01,2023-06-10,113456.98,Late
PAY08219,LOAN21399,2025-04-01,2025-04-14,37514,Late
PAY14772,LOAN20991,2023-02-01,2023-01-22,21965.18,Paid
PAY08793,LOAN20725,2024-06-01,2024-05-29,53794.35,Paid
PAY01215,LOAN21523,2024-03-01,2024-02-27,19016.3,Paid
PAY02412,LOAN20663,2023-01-01,2022-12-25,20323.03,Paid
PAY16010,LOAN21498,2023-02-01,2023-02-17,36124.04,Late
PAY13494,LOAN21466,2024-01-01,,0,Skipped
PAY01625,LOAN21420,2025-02-01,2025-02-05,7347.934452,Partial
PAY11420,LOAN20208,2025-06-01,2025-05-25,40254.19,Paid
PAY05261,LOAN21913,2025-01-01,,0,Skipped
PAY09174,LOAN21605,2023-02-01,2023-01-22,58718.28,Paid
PAY14934,LOAN20452,2024-10-01,,0,Skipped
PAY17129,LOAN20620,2023-09-01,2023-08-27,103863.25,Paid
PAY08564,LOAN20094,2024-03-01,2024-03-03,25690.24,Bounced
PAY08762,LOAN21404,2025-06-01,2025-05-31,3904.16,Paid
PAY08821,LOAN20775,2024-09-01,,0,Skipped
PAY13378,LOAN20733,2024-10-01,,0,Skipped
PAY04008,LOAN21412,2024-10-01,2024-10-04,49929.57,Bounced
PAY13295,LOAN21972,2024-01-01,2024-01-03,16099.29799,Partial
PAY08875,LOAN21517,2023-05-01,2023-04-26,23372.97,Paid
PAY17793,LOAN21108,2024-12-01,2024-11-28,16809.76,Paid
PAY01470,LOAN20671,2023-02-01,2023-02-01,14367.88,Paid
PAY02919,LOAN21998,2021-10-01,2021-09-21,39089.96,Paid
PAY13401,LOAN20450,2023-11-01,2023-12-22,55053.38,Late
PAY05423,LOAN21497,2024-07-01,2024-06-26,21425.21,Paid
PAY16281,LOAN20400,2023-08-01,,0,Skipped
PAY09089,LOAN21505,2025-02-01,2025-02-08,32649.39609,Partial
PAY04441,LOAN21001,2023-05-01,2023-05-02,30881.06,Bounced
PAY17781,LOAN21108,2023-12-01,2023-11-27,16809.76,Paid
PAY02122,LOAN20764,2023-08-01,2023-07-26,43191.12,Paid
PAY06273,LOAN20350,2025-05-01,,0,Skipped
PAY05265,LOAN21913,2025-05-01,2025-05-05,20888.02086,Partial
PAY02601,LOAN20292,2024-11-01,2024-10-23,13179.81,Paid
PAY15593,LOAN21485,2023-09-01,2023-10-12,10222.91,Late
PAY08221,LOAN21399,2025-06-01,2025-06-09,12791.21146,Partial
PAY08422,LOAN20155,2023-10-01,2023-09-22,70029.27,Paid
PAY03535,LOAN20295,2024-01-01,2024-01-09,6476.929198,Partial
PAY14665,LOAN21125,2024-03-01,2024-02-28,84318.14,Paid
PAY03631,LOAN21041,2024-07-01,2024-06-27,44683.9,Paid
PAY01659,LOAN21452,2023-02-01,2023-01-24,2128.93,Paid
PAY11681,LOAN20448,2024-04-01,2024-03-27,29444.61,Paid
PAY16868,LOAN20482,2025-06-01,2025-05-24,120261.52,Paid
PAY04765,LOAN20619,2024-11-01,2024-10-27,33608.14,Paid
PAY05770,LOAN20895,2025-01-01,2024-12-23,41123.93,Paid
PAY03727,LOAN20998,2022-09-01,,0,Skipped
PAY10983,LOAN21028,2023-09-01,2023-09-02,34655.31,Paid
PAY04245,LOAN21320,2023-10-01,2023-10-02,63220.29,Paid
PAY06961,LOAN21532,2023-08-01,2023-09-14,49508.61,Late
PAY01900,LOAN21515,2024-05-01,2024-05-09,12856.63,Late
PAY13397,LOAN20450,2023-07-01,,0,Skipped
PAY05105,LOAN20015,2025-05-01,2025-05-02,41282.84,Paid
PAY02154,LOAN20570,2023-11-01,2023-11-10,3486.852537,Partial
PAY10511,LOAN20927,2025-03-01,,0,Skipped
PAY10321,LOAN21886,2024-09-01,2024-08-23,9444.17,Paid
PAY01516,LOAN21339,2024-02-01,2024-01-23,45788.42,Paid
PAY17592,LOAN20485,2025-05-01,2025-06-02,4463.67,Late
PAY15573,LOAN21485,2022-01-01,,0,Skipped
PAY01930,LOAN21459,2021-10-01,2021-10-04,37846.68932,Partial
PAY01744,LOAN20837,2022-05-01,2022-05-15,14376.11603,Partial
PAY10054,LOAN21914,2025-02-01,2025-02-05,46863.93,Bounced
PAY00366,LOAN20101,2022-11-01,2022-11-06,35417.83,Bounced
PAY09917,LOAN21799,2023-11-01,,0,Skipped
PAY05152,LOAN20549,2021-12-01,2021-11-28,61156.61,Paid
PAY15359,LOAN21609,2023-04-01,2023-03-30,82073.71,Paid
PAY03906,LOAN21291,2024-11-01,2024-12-06,50887.78,Late
PAY09550,LOAN20564,2022-08-01,2022-08-02,8995.54,Bounced
PAY15428,LOAN21277,2025-03-01,,0,Skipped
PAY01395,LOAN21985,2025-04-01,2025-03-24,16797.56,Paid
PAY10527,LOAN21622,2024-11-01,2024-10-28,63940.19,Paid
PAY15919,LOAN21885,2022-12-01,,0,Skipped
PAY01103,LOAN20602,2023-05-01,2023-04-22,44047.17,Paid
PAY02789,LOAN20760,2024-07-01,2024-08-02,18422.97,Late
PAY11432,LOAN21054,2025-04-01,2025-03-28,92734.92,Paid
PAY08708,LOAN21194,2023-01-01,2023-01-04,5802.15,Bounced
PAY07258,LOAN20689,2024-05-01,2024-04-28,36868.59,Paid
PAY07228,LOAN21387,2023-12-01,2023-12-13,10307.49215,Partial
PAY13589,LOAN20196,2023-07-01,2023-06-23,69117.19,Paid
PAY17512,LOAN20316,2022-07-01,2022-06-22,98585.66,Paid
PAY04719,LOAN20451,2025-04-01,2025-03-23,56950.28,Paid
PAY10271,LOAN21251,2022-05-01,,0,Skipped
PAY14493,LOAN20946,2021-12-01,2021-11-27,83786.78,Paid
PAY05193,LOAN20549,2025-05-01,2025-04-24,61156.61,Paid
PAY04434,LOAN21001,2022-10-01,,0,Skipped
PAY16126,LOAN20877,2023-12-01,2023-11-30,68398.54,Paid
PAY06478,LOAN20771,2024-10-01,2024-10-03,42594.79,Bounced
PAY07518,LOAN21206,2024-11-01,,0,Skipped
PAY08559,LOAN20094,2023-10-01,,0,Skipped
PAY06391,LOAN21323,2025-04-01,2025-03-22,56049.98,Paid
PAY14474,LOAN20369,2024-10-01,2024-10-14,7930.014985,Partial
PAY04408,LOAN20228,2024-04-01,2024-05-04,41253.82,Late
PAY01309,LOAN21642,2023-12-01,2023-12-06,40646.95402,Partial
PAY10508,LOAN20927,2024-12-01,2024-12-04,29851.25,Bounced
PAY04184,LOAN20145,2025-01-01,2024-12-24,34715.15,Paid
PAY03603,LOAN21041,2022-03-01,2022-02-28,44683.9,Paid
PAY18182,LOAN21245,2022-10-01,,0,Skipped
PAY12588,LOAN20262,2024-06-01,2024-05-27,45439.94,Paid
PAY09507,LOAN20168,2025-02-01,2025-02-02,21135.09,Bounced
PAY07629,LOAN21075,2023-11-01,2023-11-01,78604.06,Paid
PAY17988,LOAN20059,2024-01-01,2023-12-30,92266.31,Paid
PAY18212,LOAN21469,2024-06-01,2024-08-23,25818.9,Late
PAY08954,LOAN21922,2024-08-01,2024-07-30,13428.57,Paid
PAY06096,LOAN20035,2023-12-01,2023-11-26,67089.45,Paid
PAY06020,LOAN21660,2024-07-01,2024-06-21,62263.88,Paid
PAY17459,LOAN21906,2023-05-01,2023-04-23,56097.18,Paid
PAY09411,LOAN20333,2023-09-01,2023-08-24,20589.05,Paid
PAY05941,LOAN21581,2025-06-01,2025-05-22,66655.6,Paid
PAY10561,LOAN21702,2023-09-01,2023-08-29,84642.99,Paid
PAY15737,LOAN21584,2023-05-01,2023-05-01,42187.63,Paid
PAY11928,LOAN20398,2025-01-01,2024-12-30,35754.72,Paid
PAY12576,LOAN20916,2024-07-01,2024-09-27,17415.31,Late
PAY13913,LOAN21326,2024-04-01,2024-03-30,57122.54,Paid
PAY05224,LOAN20767,2023-12-01,2023-12-04,61716.56,Bounced
PAY02777,LOAN21974,2024-09-01,2024-09-05,52278.58,Bounced
PAY07469,LOAN20746,2022-04-01,,0,Skipped
PAY04324,LOAN21087,2023-04-01,,0,Skipped
PAY07453,LOAN20607,2024-06-01,2024-06-03,53330.68,Bounced
PAY11267,LOAN21670,2023-03-01,2023-02-21,17551.62,Paid
PAY11184,LOAN21769,2023-06-01,2023-05-25,66605.78,Paid
PAY02695,LOAN21554,2025-04-01,2025-04-05,65894.77,Bounced
PAY07024,LOAN20498,2025-06-01,,0,Skipped
PAY01288,LOAN21445,2023-10-01,2023-09-23,38405.73,Paid
PAY12186,LOAN21548,2025-04-01,,0,Skipped
PAY16227,LOAN21363,2023-11-01,2023-11-02,3025.94,Paid
PAY10944,LOAN20457,2024-04-01,2024-03-25,26663.15,Paid
PAY10836,LOAN21580,2025-05-01,2025-05-05,26935.87988,Partial
PAY07796,LOAN20440,2024-09-01,2024-08-26,29028.04,Paid
PAY05804,LOAN21564,2025-01-01,2025-01-19,35465.79,Late
PAY03748,LOAN20998,2024-06-01,2024-07-18,62057.16,Late
PAY13960,LOAN20835,2024-05-01,2024-05-02,40213.05,Paid
PAY12416,LOAN20330,2022-10-01,2022-10-04,2080.34,Bounced
PAY16181,LOAN20032,2021-09-01,2021-09-03,25433.4585,Partial
PAY12424,LOAN20330,2023-06-01,2023-06-09,1821.386421,Partial
PAY16446,LOAN20259,2024-01-01,2024-01-16,115466.86,Late
PAY03627,LOAN21041,2024-03-01,2024-02-29,44683.9,Paid
PAY00805,LOAN21534,2025-05-01,2025-04-27,38447.74,Paid
PAY01360,LOAN21655,2025-05-01,2025-04-29,3162.08,Paid
PAY15782,LOAN20908,2024-06-01,2024-06-03,7083.11,Bounced
PAY10912,LOAN21546,2023-10-01,2023-09-27,17393.19,Paid
PAY05619,LOAN21623,2024-08-01,2024-07-23,31191.08,Paid
PAY08469,LOAN21383,2024-12-01,,0,Skipped
PAY14273,LOAN21432,2022-11-01,2022-10-28,100532.54,Paid
PAY02429,LOAN20663,2024-06-01,2024-06-01,20323.03,Paid
PAY14962,LOAN21090,2025-06-01,,0,Skipped
PAY06816,LOAN20728,2024-04-01,,0,Skipped
PAY17601,LOAN20581,2022-01-01,2021-12-27,118783.38,Paid
PAY03693,LOAN20460,2024-02-01,,0,Skipped
PAY16455,LOAN21106,2024-12-01,,0,Skipped
PAY06994,LOAN21758,2024-12-01,2025-02-10,27669.67,Late
PAY10013,LOAN21707,2025-02-01,2025-02-03,12548.67,Bounced
PAY17464,LOAN21906,2023-10-01,2023-09-21,56097.18,Paid
PAY04913,LOAN21617,2024-01-01,2024-01-02,47503.22,Bounced
PAY10641,LOAN21995,2024-02-01,,0,Skipped
PAY00395,LOAN20101,2025-04-01,2025-04-23,35417.83,Late
PAY15718,LOAN20977,2023-11-01,2023-11-09,26369.62223,Partial
PAY05616,LOAN21623,2024-05-01,2024-04-27,31191.08,Paid
PAY07661,LOAN20142,2022-09-01,2022-09-01,73687.19,Paid
PAY15252,LOAN20590,2024-02-01,2024-01-29,73389.89,Paid
PAY13937,LOAN20835,2022-06-01,2022-05-25,40213.05,Paid
PAY15715,LOAN20977,2023-08-01,,0,Skipped
PAY01618,LOAN21420,2024-07-01,,0,Skipped
PAY03668,LOAN20937,2023-07-01,2023-06-30,12836.45,Paid
PAY09409,LOAN20333,2023-07-01,2023-06-21,20589.05,Paid
PAY04533,LOAN20583,2023-12-01,2023-11-28,5666.89,Paid
PAY03450,LOAN20492,2024-04-01,2024-03-27,52381.17,Paid
PAY06166,LOAN21146,2024-09-01,2024-09-07,64849.76,Bounced
PAY16520,LOAN20869,2022-07-01,2022-06-29,57737.22,Paid
PAY08117,LOAN21195,2023-08-01,2023-08-05,50772.89,Bounced
PAY00963,LOAN21848,2024-04-01,2024-03-23,39195.97,Paid
PAY03374,LOAN21360,2023-11-01,2023-11-20,34432.35,Late
PAY09240,LOAN21142,2024-11-01,2024-10-22,31103.86,Paid
PAY04697,LOAN20451,2023-06-01,2023-06-04,56950.28,Late
PAY14246,LOAN20980,2025-04-01,2025-03-28,27594.55,Paid
PAY14898,LOAN20379,2025-06-01,2025-05-28,20001.66,Paid
PAY02258,LOAN21924,2023-02-01,2023-02-02,42805.08,Paid
PAY11561,LOAN21921,2025-03-01,2025-02-24,2448.5,Paid
PAY09666,LOAN20141,2023-09-01,2023-08-25,79256.99,Paid
PAY11784,LOAN20219,2024-09-01,2024-09-04,55461.03,Late
PAY02778,LOAN21974,2024-10-01,2024-10-06,52278.58,Bounced
PAY09272,LOAN20001,2022-08-01,2022-07-23,6284.93,Paid
PAY14851,LOAN21774,2025-05-01,2025-04-23,87170.04,Paid
PAY00761,LOAN20357,2023-06-01,2023-06-05,59454.53,Bounced
PAY01415,LOAN20928,2025-01-01,,0,Skipped
PAY17451,LOAN21129,2024-01-01,2023-12-30,61160.98,Paid
PAY09483,LOAN20168,2023-02-01,2023-02-03,6462.755107,Partial
PAY13254,LOAN21973,2023-07-01,2023-07-01,12355.24,Bounced
PAY07074,LOAN20308,2023-10-01,2023-09-25,60572.01,Paid
PAY00287,LOAN21797,2023-03-01,2023-03-26,21206.98,Late
PAY11200,LOAN21769,2024-10-01,2024-09-23,66605.78,Paid
PAY09009,LOAN20589,2024-06-01,2024-05-22,64974.66,Paid
PAY16818,LOAN20481,2024-08-01,,0,Skipped
PAY14029,LOAN20238,2023-01-01,,0,Skipped
PAY02341,LOAN20530,2022-03-01,2022-02-24,65566.86,Paid
PAY10689,LOAN20544,2023-05-01,2023-04-21,90263.35,Paid
PAY09758,LOAN21524,2023-05-01,2023-05-02,11087.91,Paid
PAY08963,LOAN21922,2025-05-01,2025-04-30,13428.57,Paid
PAY17852,LOAN20999,2022-10-01,2022-11-05,6620.8,Late
PAY13477,LOAN21466,2022-08-01,,0,Skipped
PAY01030,LOAN20114,2025-05-01,2025-04-21,23840.62,Paid
PAY18031,LOAN20947,2023-10-01,2023-09-25,12408.69,Paid
PAY14351,LOAN20147,2024-02-01,2024-01-30,63660.63,Paid
PAY11295,LOAN21040,2025-01-01,2025-03-28,57393.2,Late
PAY06014,LOAN21660,2024-01-01,2023-12-25,62263.88,Paid
PAY08828,LOAN20775,2025-04-01,2025-04-08,20503.15458,Partial
PAY13661,LOAN20904,2024-12-01,2024-11-29,82757.86,Paid
PAY17941,LOAN21615,2022-01-01,2021-12-22,39669.18,Paid
PAY01260,LOAN20558,2024-04-01,2024-03-31,33487.86,Paid
PAY16139,LOAN20877,2025-01-01,2024-12-31,68398.54,Paid
PAY08407,LOAN20642,2024-12-01,2024-12-06,5555.14,Bounced
PAY14336,LOAN20568,2024-08-01,2024-08-04,62964.56,Bounced
PAY02726,LOAN21954,2025-05-01,2025-05-01,35011.99,Paid
PAY08147,LOAN20660,2025-05-01,2025-05-07,76944.08,Bounced
PAY14790,LOAN20991,2024-08-01,2024-07-24,21965.18,Paid
PAY11667,LOAN20448,2023-02-01,2023-01-26,29444.61,Paid
PAY18231,LOAN20893,2023-04-01,2023-04-07,71011.32,Late
PAY09733,LOAN20442,2024-10-01,2024-09-27,78737.46,Paid
PAY08231,LOAN20177,2022-02-01,2022-01-30,41459.68,Paid
PAY03023,LOAN21953,2025-03-01,2025-04-08,25650.08,Late
PAY01085,LOAN20602,2021-11-01,2021-10-28,44047.17,Paid
PAY15136,LOAN21865,2022-04-01,2022-03-30,64189.01,Paid
PAY06002,LOAN21038,2025-05-01,,0,Skipped
PAY12639,LOAN21552,2023-05-01,2023-05-05,84688.95,Late
PAY00630,LOAN20250,2021-11-01,2022-01-26,45375.19,Late
PAY05001,LOAN20160,2025-02-01,2025-02-02,46040.22,Paid
PAY08234,LOAN20177,2022-05-01,2022-05-02,41459.68,Paid
PAY05596,LOAN20948,2024-12-01,2024-11-29,29066.9,Paid
PAY12027,LOAN20244,2023-04-01,2023-05-05,92498.48,Late
PAY04191,LOAN20314,2021-11-01,2021-10-27,68221.99,Paid
PAY17382,LOAN21766,2024-03-01,2024-03-06,25418.88235,Partial
PAY16452,LOAN21106,2024-09-01,2024-09-01,94808.65,Bounced
PAY07836,LOAN21870,2025-01-01,2024-12-31,15405.32,Paid
PAY15106,LOAN20484,2023-09-01,2023-09-02,63697.95,Paid
PAY13011,LOAN21133,2025-03-01,2025-03-03,52638.00226,Partial
PAY12132,LOAN20951,2024-04-01,2024-03-29,63486.38,Paid
PAY13511,LOAN21939,2024-01-01,,0,Skipped
PAY08616,LOAN21898,2024-03-01,2024-02-29,17258.54,Paid
PAY17399,LOAN21202,2022-05-01,2022-04-30,39842.39,Paid
PAY08185,LOAN21996,2023-02-01,2023-01-30,5619.52,Paid
PAY14097,LOAN21083,2022-08-01,,0,Skipped
PAY10033,LOAN21914,2023-05-01,2023-05-10,46863.93,Late
PAY06403,LOAN21020,2024-09-01,2024-08-30,61208.11,Paid
PAY13310,LOAN21972,2025-04-01,2025-04-03,44632.47,Bounced
PAY01820,LOAN20751,2024-11-01,2024-10-26,64231.14,Paid
PAY08995,LOAN20589,2023-04-01,2023-03-27,64974.66,Paid
PAY14594,LOAN21168,2024-09-01,2024-08-24,72859.67,Paid
PAY11509,LOAN20982,2024-10-01,2024-10-21,29742.32,Late
PAY16152,LOAN20068,2024-01-01,2023-12-28,81293.12,Paid
PAY04431,LOAN21001,2022-07-01,,0,Skipped
PAY08944,LOAN20351,2024-11-01,2024-10-30,54909.21,Paid
PAY10180,LOAN21682,2023-11-01,2023-10-27,62617.99,Paid
PAY09792,LOAN21734,2023-03-01,2023-03-14,13349.56189,Partial
PAY16979,LOAN21152,2021-11-01,2021-11-13,35882.46631,Partial
PAY04917,LOAN21617,2024-05-01,2024-05-11,27476.98365,Partial
PAY05568,LOAN21982,2025-05-01,2025-05-07,63514.03,Bounced
PAY11451,LOAN21111,2024-05-01,2024-04-28,41351.95,Paid
PAY03740,LOAN20998,2023-10-01,2023-10-01,62057.16,Bounced
PAY14559,LOAN20996,2024-09-01,2024-09-02,97686.31,Bounced
PAY09520,LOAN20183,2023-12-01,2023-11-28,4367.68,Paid
PAY16757,LOAN21968,2023-04-01,2023-05-24,82495.03,Late
PAY04135,LOAN20656,2024-12-01,2024-11-30,42963.39,Paid
PAY03109,LOAN21281,2023-04-01,2023-06-22,40941.39,Late
PAY12323,LOAN21514,2025-06-01,,0,Skipped
PAY16862,LOAN20482,2024-12-01,2024-12-01,120261.52,Paid
PAY17607,LOAN20581,2022-07-01,2022-07-01,118783.38,Paid
PAY00855,LOAN20577,2023-02-01,2023-01-24,12342.08,Paid
PAY01684,LOAN21452,2025-03-01,2025-02-24,2128.93,Paid
PAY17499,LOAN21382,2024-03-01,2024-02-27,107724.86,Paid
PAY17430,LOAN21129,2022-04-01,,0,Skipped
PAY02021,LOAN20641,2025-05-01,2025-04-27,22913.81,Paid
PAY16191,LOAN20032,2022-07-01,2022-07-01,82221.03,Bounced
PAY13721,LOAN20486,2024-02-01,2024-01-27,76737.32,Paid
PAY06019,LOAN21660,2024-06-01,2024-05-29,62263.88,Paid
PAY10243,LOAN21628,2025-05-01,2025-05-02,55349.01877,Partial
PAY14125,LOAN20851,2024-10-01,2024-12-19,31430.1,Late
PAY17177,LOAN20130,2022-04-01,2022-03-24,42904.07,Paid
PAY05290,LOAN21721,2022-08-01,2022-07-30,59351.16,Paid
PAY09008,LOAN20589,2024-05-01,2024-05-02,64974.66,Paid
PAY08393,LOAN20642,2023-10-01,,0,Skipped
PAY14260,LOAN21432,2021-10-01,2021-09-24,100532.54,Paid
PAY14631,LOAN20957,2024-03-01,2024-05-10,74602.66,Late
PAY15490,LOAN20629,2023-10-01,2023-10-09,67380.10784,Partial
PAY17873,LOAN20999,2024-07-01,2024-07-01,5107.662239,Partial
PAY14307,LOAN21789,2023-06-01,2023-05-23,17384.05,Paid
PAY06446,LOAN21271,2024-12-01,2024-12-01,2691.03,Bounced
PAY03506,LOAN21186,2025-01-01,2024-12-27,66515.41,Paid
PAY05728,LOAN21838,2025-04-01,2025-03-26,67790.69,Paid
PAY05724,LOAN21838,2024-12-01,2024-12-03,63905.72544,Partial
PAY07331,LOAN21122,2025-06-01,2025-06-07,17794.59,Bounced
PAY05873,LOAN21343,2023-02-01,,0,Skipped
PAY05697,LOAN21838,2022-09-01,2022-08-27,67790.69,Paid
PAY05342,LOAN20695,2022-12-01,,0,Skipped
PAY13809,LOAN20959,2024-04-01,2024-03-28,60489.9,Paid
PAY13290,LOAN21972,2023-08-01,,0,Skipped
PAY02640,LOAN20170,2025-04-01,2025-03-29,63167.97,Paid
PAY16344,LOAN20008,2024-04-01,2024-04-15,28727.47453,Partial
PAY10365,LOAN20748,2025-04-01,2025-03-31,32247.02,Paid
PAY17866,LOAN20999,2023-12-01,2023-12-01,6620.8,Bounced
PAY02257,LOAN21924,2023-01-01,2022-12-24,42805.08,Paid
PAY16176,LOAN20920,2025-04-01,2025-03-27,41903.55,Paid
PAY09031,LOAN20553,2023-03-01,2023-03-06,78739.94,Bounced
PAY00226,LOAN20453,2023-11-01,2023-10-28,22195.74,Paid
PAY00014,LOAN20441,2023-08-01,2023-08-04,1910.682235,Partial
PAY01263,LOAN20558,2024-07-01,2024-06-21,33487.86,Paid
PAY12970,LOAN21043,2024-01-01,2023-12-23,3349.12,Paid
PAY09404,LOAN20333,2023-02-01,2023-01-26,20589.05,Paid
PAY12004,LOAN20291,2024-12-01,,0,Skipped
PAY01758,LOAN20837,2023-07-01,2023-06-29,28054.94,Paid
PAY14830,LOAN21774,2023-08-01,2023-07-22,87170.04,Paid
PAY11483,LOAN21096,2025-06-01,2025-05-25,82717.43,Paid
PAY05840,LOAN21756,2024-01-01,2023-12-28,47854.76,Paid
PAY13146,LOAN21397,2024-06-01,2024-06-04,53428.63058,Partial
PAY01074,LOAN21616,2024-08-01,2024-07-31,13376.91,Paid
PAY15704,LOAN20977,2022-09-01,,0,Skipped
PAY07022,LOAN20498,2025-04-01,,0,Skipped
PAY03531,LOAN20295,2023-09-01,2023-09-08,12208.9542,Partial
PAY01161,LOAN21634,2025-03-01,2025-02-22,51298.1,Paid
PAY06033,LOAN21738,2024-06-01,,0,Skipped
PAY12729,LOAN21574,2024-10-01,2024-09-29,8179.91,Paid
PAY07008,LOAN20498,2024-02-01,2024-02-06,23336.18,Late
PAY04977,LOAN20935,2023-08-01,2023-07-23,1388.57,Paid
PAY18275,LOAN21331,2024-11-01,2024-10-29,78961.14,Paid
PAY05666,LOAN21120,2025-01-01,2025-01-01,65767.51968,Partial
PAY13441,LOAN21590,2025-05-01,2025-04-25,2865.02,Paid
PAY13830,LOAN21017,2024-12-01,2024-11-26,90973.3,Paid
PAY00232,LOAN20453,2024-05-01,2024-04-24,22195.74,Paid
PAY06877,LOAN21688,2024-07-01,2024-06-27,7466.21,Paid
PAY04853,LOAN20696,2024-02-01,2024-01-24,33026.51,Paid
